"World carbon dioxide emissions by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=10-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:02:28 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Total OECD,"Carbon dioxide emissions: OECD: Total OECD": Reference,10-IEO2019.11.Reference-d080819,"MMmt",13131.107,13015.1276,12837.9228,12951.6985,12816.4929,12716,12659.1222,12518.3395,12463.633,12275.6578,12033.3036,11941.039,11886.9813,11823.841,11762.425,11704.6056,11638.361,11579.3421,11532.9228,11497.3783,11445.3846,11414.0467,11373.5211,11353.8744,11336.8473,11332.3547,11334.7356,11331.6051,11330.48,11345.7249,11378.0002,11402.4744,11440.8323,11474.8025,11512.2178,11563.6849,11605.9199,11657.169,11709.1121,11753.671,11812.2024,"-0.2%"
Non-OECD,,10-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"Carbon dioxide emissions: Non-OECD: Non-OECD Europe and Eurasia": Reference,10-IEO2019.13.Reference-d080819,"MMmt",2834.629,3016.8195,3028.4879,2927.3071,2895.9537,2863.3413,2844.3543,2688.574,2685.6246,2668.4691,2653.8593,2645.7882,2629.8932,2619.7657,2606.8249,2601.354,2615.4977,2621.0128,2621.7477,2629.7332,2634.8353,2650.0103,2650.7927,2660.498,2666.7431,2686.2498,2685.6801,2698.9764,2708.593,2715.0425,2714.6901,2733.6612,2741.5832,2751.9536,2764.6174,2778.9706,2783.1838,2778.0421,2793.6908,2792.9374,2800.0056,"0.1%"
Russia,"Carbon dioxide emissions: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,10-IEO2019.14.Reference-d080819,"MMmt",1725.7587,1804.3032,1818.748,1783.0185,1791.6045,1792.6848,1771.783,1707.8154,1707.1706,1694.9439,1691.8863,1680.8594,1668.8992,1662.2002,1653.6807,1651.1025,1663.5184,1666.7046,1666.3864,1669.6087,1664.923,1672.203,1672.737,1676.2079,1677.6978,1688.993,1681.3819,1687.7101,1685.2289,1687.8719,1684.909,1692.0489,1697.4488,1701.6613,1707.4638,1713.5545,1710.9129,1699.6065,1706.045,1697.6104,1695.4876,"-0.0%"
Other,"Carbon dioxide emissions: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,10-IEO2019.15.Reference-d080819,"MMmt",1108.8703,1212.5163,1209.7399,1144.2886,1104.3492,1070.6565,1072.5713,980.7586,978.454,973.5252,961.9731,964.9288,960.994,957.5655,953.1443,950.2515,951.9793,954.3082,955.3613,960.1246,969.9123,977.8072,978.0557,984.2901,989.0454,997.2568,1004.2982,1011.2663,1023.3641,1027.1706,1029.7812,1041.6123,1044.1345,1050.2922,1057.1536,1065.4162,1072.2709,1078.4357,1087.6458,1095.327,1104.518,"0.4%"
Non-OECD Asia,"Carbon dioxide emissions: Non-OECD: Non-OECD Asia": Reference,10-IEO2019.16.Reference-d080819,"MMmt",12429.1019,13504.6923,14334.6706,14955.2949,15104.325,15093.5959,14906.3873,15208.193,15464.6802,15638.3343,15860.5369,15946.6278,16030.1745,16125.1186,16236.2987,16352.8254,16455.416,16574.5851,16701.9644,16832.1409,16969.8326,17112.2383,17252.6564,17402.4649,17553.2457,17717.7864,17893.7207,18058.4981,18238.8477,18415.9535,18598.485,18838.3219,19077.8546,19329.5062,19579.5127,19824.3847,20124.7539,20419.7725,20714.7703,21001.7299,21299.0362,"1.0%"
China,"Carbon dioxide emissions: Non-OECD: Non-OECD Asia: China": Reference,10-IEO2019.17.Reference-d080819,"MMmt",8778.3799,9772.2971,10337.044,10765.523,10693.7897,10550.3712,10258.7047,10271.9095,10377.0874,10441.6948,10531.6552,10489.3781,10453.1756,10427.1877,10408.2302,10382.8982,10313.0273,10249.4648,10189.4701,10128.7918,10075.2182,10044.3487,10011.0628,9980.011,9952.0714,9929.8744,9943.3417,9947.5023,9960.7232,9972.2195,9981.2091,10003.5051,10024.4271,10057.6667,10087.373,10115.3692,10139.4972,10162.7263,10187.2705,10202.0216,10221.1234,"-0.0%"
India,"Carbon dioxide emissions: Non-OECD: Non-OECD Asia: India": Reference,10-IEO2019.18.Reference-d080819,"MMmt",1628.4589,1678.1542,1898.9006,1956.8313,2094.5811,2150.838,2158.6293,2401.9514,2472.2077,2527.5121,2593.6793,2677.6512,2760.8196,2847.2636,2938.5457,3035.6449,3148.035,3268.6254,3391.7072,3516.891,3644.699,3778.1698,3912.7225,4050.1266,4187.6685,4328.6118,4427.9232,4525.7633,4626.7517,4725.6802,4830.1062,4972.6542,5117.4154,5260.6607,5405.9691,5548.5789,5733.1126,5911.2056,6094.7975,6277.8662,6456.9205,"3.0%"
Other,"Carbon dioxide emissions: Non-OECD: Non-OECD Asia: Other": Reference,10-IEO2019.19.Reference-d080819,"MMmt",2022.2631,2054.2409,2098.726,2232.9406,2315.9542,2392.3867,2489.0533,2534.3321,2615.385,2669.1274,2735.2023,2779.5985,2816.1793,2850.6673,2889.5227,2934.2824,2994.3537,3056.4949,3120.787,3186.458,3249.9155,3289.7198,3328.871,3372.3273,3413.5058,3459.3002,3522.4558,3585.2325,3651.3728,3718.0539,3787.1697,3862.1625,3936.0121,4011.1787,4086.1706,4160.4367,4252.1441,4345.8406,4432.7023,4521.8421,4620.9924,"1.8%"
Middle East,"Carbon dioxide emissions: Non-OECD: Middle East": Reference,10-IEO2019.20.Reference-d080819,"MMmt",1739.3055,1844.1244,1905.2908,1897.3239,1960.7175,2005.0158,2031.2249,2136.3889,2149.1701,2186.1391,2203.3279,2226.4383,2243.9773,2258.5876,2277.0887,2303.5005,2333.7877,2367.351,2397.7959,2426.0704,2451.5519,2482.5201,2509.4985,2538.108,2566.6557,2591.5467,2605.6572,2634.2722,2662.048,2680.9297,2702.8148,2731.1627,2762.1401,2793.4346,2828.7034,2862.502,2895.4829,2931.306,2969.9436,3007.9407,3046.89,"1.1%"
Africa,"Carbon dioxide emissions: Non-OECD: Africa": Reference,10-IEO2019.21.Reference-d080819,"MMmt",1111.0341,1120.8414,1173.0964,1206.3604,1242.0894,1251.618,1291.6841,1277.6076,1307.07,1323.4022,1348.0224,1367.1957,1386.7476,1406.6852,1428.2548,1451.8777,1471.5993,1492.8518,1514.6215,1536.2439,1558.505,1592.4318,1626.816,1662.4541,1699.0265,1738.881,1783.5081,1828.7983,1873.0334,1918.6176,1966.1515,2015.4439,2065.1043,2113.8678,2163.4147,2215.4257,2272.6004,2331.631,2392.4174,2450.0698,2509.2537,"2.1%"
Non-OECD Americas,"Carbon dioxide emissions: Non-OECD: Non-OECD Americas": Reference,10-IEO2019.22.Reference-d080819,"MMmt",1197.6766,1222.1458,1263.9554,1300.0268,1338.0948,1331.6228,1297.3996,1273.2733,1249.7332,1239.5835,1240.7077,1254.6013,1262.9288,1272.1163,1281.4929,1290.3634,1299.7147,1311.6639,1322.001,1333.0303,1345.3207,1352.3567,1360.9897,1369.9326,1378.2271,1390.3098,1402.9716,1415.9495,1428.7335,1442.3321,1455.0477,1472.2398,1488.3532,1504.7333,1520.976,1536.9788,1553.9525,1570.3181,1587.4288,1602.2071,1617.5635,"0.8%"
Brazil,"Carbon dioxide emissions: Non-OECD: Non-OECD Americas: Brazil": Reference,10-IEO2019.23.Reference-d080819,"MMmt",467.8211,485.4083,509.5356,530.5749,554.239,548.9811,519.3858,518.0876,517.6559,522.57,527.5998,532.1625,537.0949,542.7644,548.5315,554.7516,559.7094,565.3414,570.5738,576.0105,580.3599,583.2219,585.8783,589.1939,592.0323,596.3715,601.265,605.9546,610.3368,614.7114,618.5316,623.8096,628.5053,633.6163,637.7284,642.6426,647.706,652.3856,657.2047,660.9371,665.3284,"0.8%"
Other,"Carbon dioxide emissions: Non-OECD: Non-OECD Americas: Other": Reference,10-IEO2019.24.Reference-d080819,"MMmt",729.8555,736.7374,754.4197,769.4519,783.8558,782.6417,778.0138,755.1857,732.0772,717.0134,713.108,722.4388,725.8339,729.3519,732.9614,735.6118,740.0053,746.3225,751.4271,757.0198,764.9607,769.1348,775.1115,780.7387,786.1948,793.9383,801.7065,809.9949,818.3966,827.6206,836.5161,848.4302,859.8479,871.117,883.2476,894.3362,906.2465,917.9324,930.2241,941.27,952.2351,"0.8%"
Total Non-OECD,"Carbon dioxide emissions: Non-OECD: Total Non-OECD": Reference,10-IEO2019.25.Reference-d080819,"MMmt",19311.7472,20708.6234,21705.5011,22286.313,22541.1805,22545.1937,22371.0503,22584.0367,22856.278,23055.9282,23306.4542,23440.6512,23553.7214,23682.2734,23829.9601,23999.9209,24176.0154,24367.4646,24558.1305,24757.2188,24960.0455,25189.5572,25400.7533,25633.4576,25863.8981,26124.7737,26371.5376,26636.4944,26911.2556,27172.8755,27437.1892,27790.8295,28135.0355,28493.4955,28857.2243,29218.2617,29629.9735,30031.0698,30458.251,30854.885,31272.749,"1.0%"
Total World,"Carbon dioxide emissions: Total World": Reference,10-IEO2019.26.Reference-d080819,"MMmt",32442.8542,33723.751,34543.4239,35238.0116,35357.6734,35261.1937,35030.1724,35102.3761,35319.911,35331.5859,35339.7578,35381.6903,35440.7027,35506.1144,35592.3851,35704.5265,35814.3764,35946.8067,36091.0532,36254.5971,36405.4302,36603.6039,36774.2744,36987.332,37200.7454,37457.1284,37706.2732,37968.0995,38241.7356,38518.6004,38815.1894,39193.304,39575.8678,39968.298,40369.4421,40781.9466,41235.8933,41688.2388,42167.3631,42608.5559,43084.9515,"0.6%"
