"World population by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=14-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:53 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Total OECD,"Population: OECD: Total OECD": Reference,14-IEO2019.11.Reference-d080819,"millions",1242.3821,1250.1398,1257.9331,1266.1268,1274.4486,1282.5746,1290.5634,1298.3077,1306.1069,1313.3726,1320.1659,1326.5615,1332.6221,1338.4164,1344,1349.4803,1354.8625,1360.0874,1365.1637,1370.1046,1374.9006,1379.5518,1384.0491,1388.3871,1392.5612,1396.5504,1400.3516,1403.9741,1407.4281,1410.7198,1413.853,1416.8245,1419.6324,1422.2845,1424.7968,1427.166,1429.3704,1431.4214,1433.3674,1435.2584,1437.04,"0.3%"
Non-OECD,,14-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"Population: Non-OECD: Non-OECD Europe and Eurasia": Reference,14-IEO2019.13.Reference-d080819,"millions",333.6627,333.8578,334.1925,334.639,334.9846,334.3038,334.4084,334.4401,334.4248,334.3116,334.1674,333.8756,333.475,333.0444,332.5168,331.9794,331.2772,330.5122,329.7013,328.8658,328.0571,327.1438,326.2121,325.2819,324.3672,323.4841,322.6011,321.7278,320.8772,320.064,319.2946,318.5458,317.8738,317.1943,316.5382,315.9379,315.2808,314.6878,314.0744,313.5088,312.9073,"-0.2%"
Russia,"Population: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,14-IEO2019.14.Reference-d080819,"millions",143.1636,143.2582,143.4265,143.6208,143.7907,143.8951,143.9423,143.9588,143.9393,143.8779,143.7688,143.6103,143.4059,143.1605,142.8791,142.5643,142.209,141.8122,141.3853,140.9404,140.4854,140.0105,139.5116,139.0033,138.5014,138.018,137.5472,137.0818,136.6288,136.1956,135.789,135.4113,135.0578,134.7231,134.4018,134.0901,133.7928,133.5118,133.2401,132.9701,132.6968,"-0.3%"
Other,"Population: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,14-IEO2019.15.Reference-d080819,"millions",190.4991,190.5996,190.766,191.0182,191.1939,190.4087,190.4661,190.4813,190.4855,190.4337,190.3986,190.2653,190.0691,189.8839,189.6377,189.4151,189.0682,188.7,188.316,187.9254,187.5717,187.1333,186.7005,186.2786,185.8658,185.4661,185.0539,184.646,184.2484,183.8684,183.5056,183.1345,182.816,182.4712,182.1364,181.8478,181.488,181.176,180.8343,180.5387,180.2105,"-0.2%"
Non-OECD Asia,"Population: Non-OECD: Non-OECD Asia": Reference,14-IEO2019.16.Reference-d080819,"millions",3700.1479,3739.855,3779.2681,3818.1211,3856.2778,3893.6311,3930.1938,3966.042,4001.2251,4035.5229,4068.8459,4101.0537,4132.374,4162.7783,4192.2363,4220.728,4247.7383,4273.811,4298.9282,4323.0591,4346.1758,4367.8511,4388.5469,4408.2622,4426.9717,4444.6738,4461.042,4476.394,4490.769,4504.2471,4516.8877,4528.2832,4538.7651,4548.3799,4557.1768,4565.186,4571.79,4577.5571,4582.5293,4586.7412,4590.2119,"0.4%"
China,"Population: Non-OECD: Non-OECD Asia: China": Reference,14-IEO2019.17.Reference-d080819,"millions",1360.717,1368.4,1376.163,1383.7939,1391.075,1397.8311,1404.132,1410.085,1415.611,1420.623,1425.048,1428.875,1432.155,1434.92,1437.202,1439.0229,1440.3521,1441.179,1441.55,1441.511,1441.098,1440.2841,1439.049,1437.4301,1435.4709,1433.199,1430.595,1427.641,1424.365,1420.802,1416.974,1412.877,1408.494,1403.8311,1398.894,1393.689,1388.204,1382.438,1376.408,1370.1331,1363.623,"-0.1%"
India,"Population: Non-OECD: Non-OECD Asia: India": Reference,14-IEO2019.18.Reference-d080819,"millions",1233.021,1249.2061,1264.976,1280.448,1295.74,1310.957,1326.109,1341.125,1355.967,1370.594,1384.98,1399.156,1413.137,1426.875,1440.323,1453.446,1466.277,1478.834,1491.071,1502.934,1514.3831,1525.441,1536.131,1546.426,1556.2939,1565.707,1574.653,1583.152,1591.2321,1598.921,1606.24,1613.174,1619.708,1625.868,1631.677,1637.155,1642.295,1647.0861,1651.5341,1655.645,1659.425,"0.6%"
Other,"Population: Non-OECD: Non-OECD Asia: Other": Reference,14-IEO2019.19.Reference-d080819,"millions",1106.41,1122.249,1138.129,1153.879,1169.463,1184.843,1199.953,1214.832,1229.647,1244.306,1258.818,1273.0229,1287.082,1300.983,1314.7111,1328.259,1341.109,1353.798,1366.307,1378.614,1390.6949,1402.126,1413.3669,1424.406,1435.207,1445.7679,1455.7939,1465.601,1475.172,1484.524,1493.674,1502.2321,1510.563,1518.681,1526.606,1534.342,1541.291,1548.033,1554.587,1560.963,1567.1639,"0.8%"
Middle East,"Population: Non-OECD: Middle East": Reference,14-IEO2019.20.Reference-d080819,"millions",210.1498,214.4361,218.8468,223.336,227.8517,232.3002,236.1288,239.9362,243.7326,247.4991,251.241,254.6129,258.024,261.4731,264.8951,268.314,271.3658,274.4035,277.4507,280.4933,283.5613,286.433,289.3224,292.2388,295.1623,298.0937,300.8701,303.6631,306.4615,309.2606,312.0726,314.7203,317.3853,320.0517,322.7236,325.4175,327.901,330.4074,332.9371,335.4974,338.0419,"1.0%"
Africa,"Population: Non-OECD: Africa": Reference,14-IEO2019.21.Reference-d080819,"millions",1035.866,1069.877,1097.462,1125.0811,1152.687,1180.241,1209.843,1239.425,1268.9871,1298.526,1328.041,1359.356,1390.651,1421.923,1453.172,1484.395,1517.546,1550.671,1583.775,1616.8621,1649.937,1685.052,1720.152,1755.236,1790.309,1825.369,1862.229,1899.077,1935.911,1972.733,2009.542,2047.601,2085.6479,2123.6799,2161.698,2199.697,2238.3911,2277.063,2315.7241,2354.385,2393.0569,"2.0%"
Non-OECD Americas,"Population: Non-OECD: Non-OECD Americas": Reference,14-IEO2019.22.Reference-d080819,"millions",461.8771,466.8314,471.7624,476.648,481.4652,486.1957,490.7393,495.2133,499.6128,503.9322,508.1668,512.1755,516.1026,519.9475,523.7104,527.3907,530.8315,534.1896,537.4649,540.6572,543.7665,546.6117,549.3728,552.0508,554.6469,557.1618,559.4095,561.5746,563.6583,565.6623,567.5872,569.245,570.8213,572.3195,573.7432,575.0904,576.1501,577.114,578.022,578.9164,579.8266,"0.5%"
Brazil,"Population: Non-OECD: Non-OECD Americas: Brazil": Reference,14-IEO2019.23.Reference-d080819,"millions",197.0347,198.9314,200.8068,202.6477,204.4404,206.1739,207.8514,209.4799,211.0564,212.5777,214.0412,215.4475,216.7982,218.0929,219.3316,220.5137,221.6388,222.7073,223.7199,224.6775,225.5807,226.4288,227.2217,227.9601,228.6451,229.2773,229.856,230.3807,230.8527,231.2735,231.6438,231.9619,232.2274,232.4432,232.6124,232.7343,232.7926,232.7897,232.7531,232.7116,232.6855,"0.3%"
Other,"Population: Non-OECD: Non-OECD Americas: Other": Reference,14-IEO2019.24.Reference-d080819,"millions",264.8424,267.9,270.9556,274.0003,277.0248,280.0218,282.8879,285.7334,288.5564,291.3545,294.1256,296.728,299.3044,301.8546,304.3788,306.877,309.1927,311.4823,313.745,315.9797,318.1858,320.1829,322.1511,324.0907,326.0018,327.8845,329.5535,331.1939,332.8056,334.3888,335.9434,337.2831,338.5939,339.8763,341.1308,342.3561,343.3575,344.3243,345.2689,346.2048,347.1411,"0.6%"
Total Non-OECD,"Population: Non-OECD: Total Non-OECD": Reference,14-IEO2019.25.Reference-d080819,"millions",5741.7036,5824.8574,5901.5317,5977.8252,6053.2666,6126.6719,6201.3135,6275.0566,6347.9824,6419.792,6490.4624,6561.0737,6630.6265,6699.166,6766.5303,6832.8071,6898.7588,6963.5874,7027.3198,7089.9375,7151.498,7213.0918,7273.606,7333.0693,7391.457,7448.7827,7506.1514,7562.4365,7617.6772,7671.9668,7725.3843,7778.395,7830.4932,7881.6255,7931.8799,7981.3291,8029.5132,8076.8291,8123.2866,8169.0488,8214.0449,"0.8%"
Total World,"Population: Total World": Reference,14-IEO2019.26.Reference-d080819,"millions",6984.0859,7074.9971,7159.4648,7243.9517,7327.7153,7409.2461,7491.877,7573.3643,7654.0889,7733.1646,7810.6279,7887.6353,7963.2485,8037.5825,8110.5303,8182.2876,8253.6211,8323.6748,8392.4834,8460.042,8526.3984,8592.6436,8657.6553,8721.457,8784.0186,8845.333,8906.5029,8966.4102,9025.1055,9082.6865,9139.2373,9195.2197,9250.126,9303.9102,9356.6768,9408.4951,9458.8838,9508.251,9556.6543,9604.3066,9651.085,"0.7%"
