"World gross domestic product (GDP) by region expressed in market exchange rates"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:40 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Non-OECD Europe and Eurasia,"GDP (exchange rate): Non-OECD: Non-OECD Europe and Eurasia": Reference,4-IEO2019.13.Reference-d080819,"bill 2010 $",2549.2666,2651.606,2732.5132,2788.4207,2803.8027,2759.7029,2782.2432,2850.7852,2922.2151,2980.6331,3013.075,3070.4829,3134.8521,3202.77,3264.3262,3325.0359,3381.679,3436.2061,3490.811,3550.7529,3614.7681,3711.895,3780.5088,3852.8999,3926.082,3998.147,4061.437,4125.6348,4186.4473,4244.02,4302.7939,4360.1113,4419.8496,4475.0879,4531.3247,4588.9727,4641.3018,4690.063,4742.4238,4792.9229,4846.8613,"1.6%"
Russia,"GDP (exchange rate): Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,4-IEO2019.14.Reference-d080819,"bill 2010 $",1638.98,1705.436,1767.663,1799.077,1812.4301,1766.2321,1763.515,1790.774,1824.207,1850.849,1856.105,1883.991,1918.917,1956.663,1986.911,2015.3929,2040.318,2063.071,2085.958,2113.4109,2144.551,2206.1331,2241.2319,2278.937,2315.76,2350.0271,2377.2471,2404.573,2428.126,2448.2681,2468.865,2488.8,2510.5359,2528.0681,2545.8799,2564.1489,2578.3899,2589.207,2602.4319,2613.4609,2626.3701,"1.1%"
Other,"GDP (exchange rate): Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,4-IEO2019.15.Reference-d080819,"bill 2010 $",910.2866,946.1699,964.8503,989.3436,991.3728,993.4708,1018.728,1060.011,1098.0081,1129.7841,1156.97,1186.4919,1215.9351,1246.1071,1277.415,1309.6429,1341.361,1373.135,1404.853,1437.342,1470.217,1505.762,1539.277,1573.963,1610.322,1648.12,1684.1899,1721.062,1758.321,1795.752,1833.929,1871.311,1909.314,1947.02,1985.4449,2024.824,2062.9121,2100.856,2139.9919,2179.4619,2220.491,"2.2%"
Non-OECD Asia,"GDP (exchange rate): Non-OECD: Non-OECD Asia": Reference,4-IEO2019.16.Reference-d080819,"bill 2010 $",10824.9102,11667.6426,12447.5244,13272.4639,14131.249,15012.7236,15950.9873,16940.207,18001.4941,19054.9922,20154.5586,21265.3516,22317.918,23431.8418,24565.498,25748.2598,26935.2227,28170.9961,29431.6543,30714.8789,32046.3008,33372.4727,34718.4297,36104.0117,37526.9375,38985.582,40497.7031,42009.0312,43558.2344,45136.8164,46783.7656,48459.2891,50218.3906,51989.5078,53826.25,55659.0625,57496.6797,59357.1719,61214.0234,63068.4297,64968.2969,"4.1%"
China,"GDP (exchange rate): Non-OECD: Non-OECD Asia: China": Reference,4-IEO2019.17.Reference-d080819,"bill 2010 $",6088.6929,6669.604,7193.1079,7751.999,8317.0938,8892.376,9490.7207,10131.4102,10798.4697,11462.1602,12147.3799,12813.7803,13425.1699,14109.9805,14794.6904,15489.5703,16164.0596,16872.4102,17586.4492,18297.9805,19045.5703,19785.1094,20533.6699,21294.8398,22071.7207,22866.4199,23701.2305,24505.5293,25332.8906,26167.0996,27040.0098,27914.0996,28847.75,29772.8203,30735.7402,31673.1504,32612.8496,33568.5391,34507.7109,35432.2109,36366.1484,"3.9%"
India,"GDP (exchange rate): Non-OECD: Non-OECD Asia: India": Reference,4-IEO2019.18.Reference-d080819,"bill 2010 $",1590.8361,1702.796,1796.3781,1906.422,2039.165,2193.991,2368.0149,2515.918,2703.1851,2899.144,3108.115,3327.009,3543.8711,3763.344,3992.4661,4236.3159,4497.9458,4776.2959,5064.3628,5364.8491,5677.689,5997.3682,6327.0552,6669.5439,7025.4341,7394.687,7774.937,8168.873,8575.1328,8996.2812,9432.7773,9890.9883,10365.1104,10851.5498,11356.3203,11870.9102,12393.1797,12922.1504,13458.1602,13999.9102,14564.8301,"5.4%"
Other,"GDP (exchange rate): Non-OECD: Non-OECD Asia: Other": Reference,4-IEO2019.19.Reference-d080819,"bill 2010 $",3145.3811,3295.2429,3458.0381,3614.043,3774.99,3926.3569,4092.252,4292.8789,4499.8398,4693.689,4899.064,5124.562,5348.8779,5558.5171,5778.3408,6022.373,6273.2178,6522.291,6780.8418,7052.0488,7323.041,7589.9951,7857.7041,8139.627,8429.7812,8724.4766,9021.5352,9334.627,9650.209,9973.4346,10310.9805,10654.2002,11005.5303,11365.1396,11734.1904,12115,12490.6504,12866.4805,13248.1504,13636.3096,14037.3203,"3.6%"
Middle East,"GDP (exchange rate): Non-OECD: Middle East": Reference,4-IEO2019.20.Reference-d080819,"bill 2010 $",1921.951,2051.772,2091.8889,2171.114,2247.698,2308.9919,2436.1221,2454.4771,2500.21,2528.8579,2585.7971,2662.147,2746.5491,2837.5759,2930.6689,3026.606,3119.884,3211.8069,3307.925,3405.4121,3506.5449,3614.3301,3719.6599,3830.6211,3941.248,4052.907,4157.4839,4255.5488,4352.8501,4447.728,4545.1709,4633.874,4723.7861,4813.2988,4904.4971,5003.229,5103.8491,5209.0449,5317.7651,5429.6011,5536.2368,"2.5%"
Africa,"GDP (exchange rate): Non-OECD: Africa": Reference,4-IEO2019.21.Reference-d080819,"bill 2010 $",1948.481,2024.918,2101.7881,2187.8989,2273.3821,2341.5891,2379.8899,2438.488,2500.605,2577.324,2663.6299,2764.7791,2874.781,2990.5581,3110.552,3235.2439,3361.96,3491.813,3625.6899,3764.2539,3908.043,4055.3081,4206.8892,4366.3901,4532.938,4706.0752,4884.0132,5070.4531,5263.2231,5462.5928,5671.146,5882.041,6102.5068,6330.5249,6566.415,6813.0229,7065.4038,7327.7461,7602.1079,7886.3501,8183.2412,"3.8%"
Non-OECD Americas,"GDP (exchange rate): Non-OECD: Non-OECD Americas": Reference,4-IEO2019.22.Reference-d080819,"bill 2010 $",3993.5669,4184.917,4282.438,4419.479,4446.9458,4379.3462,4284.5918,4329.481,4355.396,4355.6528,4486.583,4655.8867,4820.2148,4954.5928,5085.355,5209.8242,5328.9609,5449.2402,5571.4199,5692.6582,5811.4072,5922.2998,6030.334,6142.0269,6255.2559,6370.167,6482.7739,6595.9971,6706.8701,6819.2783,6933.3994,7047.0723,7162.958,7277.3662,7392.8389,7509.0957,7620.2358,7730.1631,7838.939,7947.2349,8057.8154,"1.9%"
Brazil,"GDP (exchange rate): Non-OECD: Non-OECD Americas: Brazil": Reference,4-IEO2019.23.Reference-d080819,"bill 2010 $",2207.574,2297.7771,2340.4419,2410.1079,2422.2429,2336.155,2259.366,2284.7781,2312.4971,2364.927,2430.6211,2497.4819,2563.5171,2625.2,2682.866,2735.614,2786.063,2837.7439,2890.439,2941.887,2990.1851,3033.9351,3075.3311,3117.3569,3159.626,3201.9399,3242.176,3281.0991,3317.3491,3353.0681,3388.2241,3423.875,3459.5459,3493.429,3526.886,3559.4771,3589.377,3617.311,3643.064,3667.3779,3692.075,"1.5%"
Other,"GDP (exchange rate): Non-OECD: Non-OECD Americas: Other": Reference,4-IEO2019.24.Reference-d080819,"bill 2010 $",1785.993,1887.14,1941.996,2009.371,2024.703,2043.191,2025.226,2044.703,2042.899,1990.726,2055.9619,2158.405,2256.698,2329.3931,2402.489,2474.21,2542.8979,2611.4961,2680.981,2750.771,2821.2219,2888.365,2955.0029,3024.6699,3095.6299,3168.2271,3240.5979,3314.8979,3389.521,3466.21,3545.175,3623.197,3703.4121,3783.937,3865.9529,3949.6189,4030.8589,4112.8521,4195.875,4279.8569,4365.7402,"2.4%"
Total Non-OECD,"GDP (exchange rate): Non-OECD: Total Non-OECD": Reference,4-IEO2019.25.Reference-d080819,"bill 2010 $",21238.1758,22580.8555,23656.1523,24839.377,25903.0781,26802.3535,27833.834,29013.4375,30279.9199,31497.4609,32903.6445,34418.6484,35894.3164,37417.3398,38956.3984,40544.9688,42127.707,43760.0625,45427.5,47127.957,48887.0625,50676.3047,52455.8203,54295.9492,56182.4609,58112.8789,60083.4102,62056.6641,64067.6211,66110.4375,68236.2812,70382.3828,72627.4922,74885.7891,77221.3281,79573.3828,81927.4688,84314.1875,86715.2578,89124.5391,91592.4531,"3.5%"
Total World,"GDP (exchange rate): Total World": Reference,4-IEO2019.26.Reference-d080819,"(billion 2010 dollars)",65981.1797,68150.5078,69809.1172,71648.9219,73691.1641,75731.5391,77594.2266,80007.4531,82394.5234,84600.5078,86921.3828,89330.0312,91701.2578,94049.6094,96448.3516,98946.2578,101451.0078,104031.4453,106668.2031,109339.1406,112073.6328,114767.9766,117392.9062,120125.3516,122927.7109,125777.0859,128657.6797,131551.4688,134476.7812,137466.4219,140561.8594,143701.5,146986.0781,150274.1406,153650.2344,157071.625,160481.0625,163943.9375,167381.1719,170857.0312,174444.5938,"2.4%"
