"World total primary energy consumption by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=1-IEO2019&sourcekey=0"
"Wed Jun 17 2020 10:57:39 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Total OECD,"Energy use: OECD: Total OECD": Reference,1-IEO2019.11.Reference-d080819,"quad Btu",241.9063,239.8771,237.3892,239.9006,238.7762,239.1221,240.3993,246.5396,249.4171,249.7916,250.3128,251.0728,251.5003,251.8939,252.4176,252.8175,253.3604,254.2294,255.2374,256.369,257.2477,257.9954,258.4918,259.2723,260.1996,261.3745,262.6472,263.8339,265.0725,266.5788,268.1732,269.7337,271.3875,273.0057,274.6428,276.486,278.4691,280.5958,282.6116,284.6088,286.816,"0.4%"
Non-OECD,,1-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"Energy use: Non-OECD: Non-OECD Europe and Eurasia": Reference,1-IEO2019.13.Reference-d080819,"quad Btu",49.6204,51.9441,51.6129,50.4743,50.2689,49.669,49.5247,48.8627,49.0565,48.9812,48.9379,48.8431,48.6072,48.4721,48.2884,48.2347,48.6546,48.9155,49.0976,49.4071,49.6645,49.9515,49.9839,50.1846,50.3135,50.682,50.7306,51.0462,51.2973,51.486,51.5489,51.988,52.2178,52.4909,52.8047,53.1449,53.3713,53.4239,53.8719,54.0083,54.3034,"0.3%"
Russia,"Energy use: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,1-IEO2019.14.Reference-d080819,"quad Btu",31.0859,32.216,32.2392,31.6448,31.9692,31.8395,31.7617,31.7421,31.7797,31.586,31.5396,31.3152,31.0742,30.9289,30.7522,30.6782,31.0016,31.1542,31.2495,31.4066,31.4138,31.5329,31.5432,31.6087,31.6355,31.8388,31.7468,31.9245,31.937,32.0475,32.0565,32.2608,32.4293,32.5705,32.7411,32.9115,32.9638,32.8561,33.0897,33.042,33.1215,"0.1%"
Other,"Energy use: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,1-IEO2019.15.Reference-d080819,"quad Btu",18.5346,19.7281,19.3737,18.8295,18.2997,17.8295,17.7631,17.1206,17.2768,17.3952,17.3982,17.5279,17.5329,17.5433,17.5362,17.5566,17.6531,17.7613,17.8481,18.0004,18.2506,18.4186,18.4407,18.5759,18.678,18.8432,18.9838,19.1217,19.3603,19.4385,19.4924,19.7272,19.7884,19.9204,20.0637,20.2334,20.4075,20.5678,20.7822,20.9663,21.1819,"0.6%"
Non-OECD Asia,"Energy use: Non-OECD: Non-OECD Asia": Reference,1-IEO2019.16.Reference-d080819,"quad Btu",168.1012,180.9484,192.7851,200.3761,205.3089,208.0242,210.5243,220.7662,227.3561,232.8329,239.0867,243.1494,247.0577,251.0476,255.2765,259.6198,264.5149,269.6532,274.9226,280.2179,285.5996,291.1488,296.6486,302.2804,307.8987,313.7091,319.9087,325.8995,332.1501,338.2707,344.5195,352.1443,359.7561,367.4933,375.2201,382.8314,389.6487,396.3778,403.0668,409.6319,416.3503,"1.9%"
China,"Energy use: Non-OECD: Non-OECD Asia: China": Reference,1-IEO2019.17.Reference-d080819,"quad Btu",110.9501,121.989,130.4918,136.7115,138.7374,139.5024,139.171,144.9765,149.0507,152.7433,156.7471,158.5743,160.4123,162.3036,164.286,166.1768,167.9953,169.8735,171.8123,173.7133,175.7217,177.7119,179.6649,181.6206,183.6365,185.703,187.7554,189.6208,191.6555,193.5969,195.5397,198.1508,200.7465,203.5198,206.2159,208.8676,210.7159,212.5653,214.4055,216.1048,217.8724,"1.2%"
India,"Energy use: Non-OECD: Non-OECD Asia: India": Reference,1-IEO2019.18.Reference-d080819,"quad Btu",23.5706,24.9501,27.2902,27.8014,29.5325,30.5375,31.4577,33.9317,35.1757,36.1629,37.3621,38.8033,40.2141,41.6765,43.2166,44.8565,46.9092,49.0977,51.319,53.581,55.882,58.525,61.1822,63.8812,66.5731,69.3323,72.2,75.05,77.9356,80.7811,83.7177,87.4385,91.1853,94.8924,98.6473,102.3393,105.9768,109.4931,113.1132,116.7113,120.2585,"3.9%"
Other,"Energy use: Non-OECD: Non-OECD Asia: Other": Reference,1-IEO2019.19.Reference-d080819,"quad Btu",33.5805,34.0092,35.0031,35.8632,37.039,37.9843,39.8956,41.858,43.1297,43.9266,44.9775,45.7718,46.4313,47.0674,47.7739,48.5865,49.6104,50.682,51.7914,52.9236,53.9959,54.9119,55.8014,56.7785,57.6891,58.6739,59.9533,61.2287,62.5589,63.8928,65.262,66.555,67.8243,69.0811,70.357,71.6245,72.9559,74.3194,75.5482,76.8158,78.2195,"1.9%"
Middle East,"Energy use: Non-OECD: Middle East": Reference,1-IEO2019.20.Reference-d080819,"quad Btu",29.1961,30.1745,32.0071,32.9008,34.1914,35.2291,35.8236,36.9112,37.3499,38.215,38.6886,39.3519,39.898,40.3772,40.9252,41.6233,42.2918,43.0305,43.7117,44.3589,44.9535,45.6164,46.215,46.8564,47.498,48.0741,48.4387,49.0961,49.7426,50.2217,50.7568,51.3577,52.0087,52.661,53.3858,54.0783,54.7511,55.4729,56.2331,56.99,57.7649,"1.4%"
Africa,"Energy use: Non-OECD: Africa": Reference,1-IEO2019.21.Reference-d080819,"quad Btu",19.8242,20.5291,21.7671,22.0085,22.6301,22.966,23.6715,23.9352,24.5483,24.9367,25.5409,26.0127,26.4852,26.9628,27.4852,28.0626,28.6617,29.3252,30.0037,30.7008,31.4163,32.1704,32.9176,33.704,34.4833,35.3432,36.2414,37.1544,38.0356,38.9366,39.8833,40.9254,41.9717,42.9764,44.0071,45.0829,46.3288,47.5987,48.9189,50.1362,51.4165,"2.3%"
Non-OECD Americas,"Energy use: Non-OECD: Non-OECD Americas": Reference,1-IEO2019.22.Reference-d080819,"quad Btu",28.8492,29.5457,30.4345,30.9637,31.5586,31.2436,31.0408,32.5213,32.2602,32.2191,32.4655,32.9477,33.3358,33.7431,34.1551,34.5589,34.8604,35.2279,35.5609,35.9195,36.2917,36.5943,36.9188,37.2643,37.5775,37.9735,38.3803,38.7931,39.1954,39.6154,39.9969,40.4367,40.8496,41.2724,41.6747,42.0804,42.4983,42.8986,43.3123,43.6625,44.0472,"1.0%"
Brazil,"Energy use: Non-OECD: Non-OECD Americas: Brazil": Reference,1-IEO2019.23.Reference-d080819,"quad Btu",14.0419,14.3713,14.7184,15.2136,15.5726,15.2854,15.1627,16.2519,16.3731,16.6,16.8669,17.0749,17.2966,17.5339,17.7752,18.0206,18.2007,18.4063,18.6002,18.8083,18.9854,19.1558,19.3173,19.5054,19.6683,19.8725,20.0592,20.242,20.4129,20.5877,20.7314,20.9312,21.1134,21.3095,21.4682,21.6565,21.8462,22.0255,22.2057,22.3473,22.5181,"1.0%"
Other,"Energy use: Non-OECD: Non-OECD Americas: Other": Reference,1-IEO2019.24.Reference-d080819,"quad Btu",14.8074,15.1744,15.7161,15.7501,15.986,15.9582,15.8781,16.2695,15.8871,15.6191,15.5986,15.8728,16.0391,16.2092,16.3799,16.5382,16.6597,16.8216,16.9607,17.1112,17.3063,17.4384,17.6015,17.7589,17.9092,18.1009,18.321,18.5511,18.7824,19.0277,19.2655,19.5055,19.7363,19.9629,20.2065,20.4239,20.6521,20.873,21.1066,21.3152,21.5292,"1.0%"
Total Non-OECD,"Energy use: Non-OECD: Total Non-OECD": Reference,1-IEO2019.25.Reference-d080819,"quad Btu",295.5912,313.1417,328.6067,336.7234,343.9578,347.132,350.5848,362.9966,370.571,377.1849,384.7196,390.3047,395.3838,400.6029,406.1304,412.0994,418.9836,426.1523,433.2966,440.6043,447.9256,455.4815,462.684,470.2897,477.771,485.7819,493.6997,501.9892,510.4209,518.5304,526.7052,536.8521,546.804,556.894,567.0924,577.2179,586.5982,595.7719,605.4031,614.4289,623.8824,"1.6%"
Total World,"Energy use: Total World": Reference,1-IEO2019.26.Reference-d080819,"quad Btu",537.4975,553.0188,565.996,576.624,582.734,586.254,590.9841,609.5362,619.9881,626.9764,635.0324,641.3775,646.8841,652.4968,658.548,664.9169,672.344,680.3816,688.534,696.9733,705.1733,713.4769,721.1758,729.5619,737.9706,747.1564,756.3469,765.8232,775.4934,785.1092,794.8785,806.5858,818.1915,829.8997,841.7352,853.7039,865.0673,876.3677,888.0147,899.0377,910.6984,"1.2%"
