"World gross domestic product (GDP) by region expressed in purchasing power parity"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:24 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Non-OECD Asia,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia": Reference,3-IEO2019.16.Reference-d080819,"bill 2010 $",25407.2598,27323.4551,29119.6855,31020.8574,33025.1914,35116.6211,37354.4023,39669.2461,42195.5938,44717.6445,47359.4609,50043.4375,52605.4414,55296.9414,58052.2891,60939.2305,63862.7305,66911.0234,70031.4375,73223.1406,76531.6562,79838.0938,83205.8203,86681.2969,90256.1562,93927.9688,97729.25,101557.0156,105483.1719,109499.9062,113687.5781,117965.5078,122442.5,126970.1797,131668.2344,136379.375,141107.8281,145898.7344,150700.0938,155511.4844,160463.4219,"4.3%"
China,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: China": Reference,3-IEO2019.17.Reference-d080819,"bill 2010 $",12433.8096,13620.0996,14689.1504,15830.4697,16984.4609,18159.25,19381.1406,20689.4902,22051.7109,23407.0508,24806.3496,26167.1992,27415.7402,28814.2109,30212.4492,31631.4805,33008.8711,34455.3906,35913.5391,37366.5703,38893.25,40403.4609,41932.1211,43486.5195,45072.9805,46695.8594,48400.6289,50043.1016,51732.6797,53436.2305,55218.8086,57003.8008,58910.4297,60799.5195,62765.9219,64680.2109,66599.2031,68550.8125,70468.7109,72356.6484,74263.8672,"3.9%"
India,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: India": Reference,3-IEO2019.18.Reference-d080819,"bill 2010 $",5314.7349,5682.479,5994.355,6363.6592,6810.606,7329.5928,7909.563,8402.376,9026.9619,9681.5137,10379.5596,11110.4297,11834.5098,12567.2998,13332.4805,14146.71,15020.5703,15950,16911.8301,17915.2109,18959.8105,20027.1504,21128.0293,22271.6094,23459.9902,24692.9297,25962.5996,27277.9609,28634.4707,30040.7695,31498.2207,33028.4297,34611.3281,36235.6602,37921.1016,39639.1602,41382.9297,43149,44938.6992,46747.3711,48634.1406,"5.4%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: Other": Reference,3-IEO2019.19.Reference-d080819,"bill 2010 $",7658.7158,8020.876,8436.1797,8826.7285,9230.123,9627.7793,10063.7002,10577.3799,11116.9199,11629.0801,12173.5498,12765.8096,13355.1904,13915.4297,14507.3604,15161.04,15833.29,16505.6309,17206.0703,17941.3594,18678.5996,19407.4805,20145.6699,20923.1699,21723.1895,22539.1797,23366.0195,24235.9492,25116.0195,26022.9102,26970.5508,27933.2793,28920.7402,29935,30981.2109,32060,33125.6914,34198.9219,35292.6914,36407.4609,37565.4102,"3.9%"
Middle East,"GDP (purchasing power parity): Non-OECD: Middle East": Reference,3-IEO2019.20.Reference-d080819,"bill 2010 $",4427.3682,4715.5352,4790.2871,4990.521,5162.563,5294.522,5620.5771,5665.46,5767.167,5823.4058,5951.7842,6124.0791,6316.1172,6526.4961,6745.127,6972.4199,7193.981,7413.0298,7642.2441,7875.1289,8114.6841,8369.2607,8620.2598,8885.1533,9149.4512,9416.3975,9666.3262,9901.4805,10134.9297,10363.7695,10598.4102,10812.8896,11028.2598,11242.7803,11462.04,11697.71,11938.0801,12187.8799,12446.6201,12711.2803,12969.9297,"2.6%"
Africa,"GDP (purchasing power parity): Non-OECD: Africa": Reference,3-IEO2019.21.Reference-d080819,"bill 2010 $",4591.2339,4767.4829,4936.3442,5137.9971,5335.894,5512.915,5621.5708,5780.5269,5959.2461,6170.1001,6403.8662,6669.605,6951.8398,7247.5088,7554.0898,7872.5781,8194.1484,8523.6387,8863.1543,9215.1113,9582.0576,9958.2969,10345.7998,10754.5195,11181.75,11626.0303,12083.1299,12560.1699,13052.1104,13561.7197,14093.3799,14632.1104,15194.2402,15774.5195,16372.25,16996.7891,17636.1309,18300.5801,18992.6406,19709.4609,20458.5391,"3.9%"
Non-OECD Americas,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas": Reference,3-IEO2019.22.Reference-d080819,"bill 2010 $",5761.1069,6047.1328,6192.5361,6394.7432,6435.667,6364.7148,6242.4531,6310.8291,6343.4873,6327.3931,6521.189,6774.9341,7021.415,7221.9316,7418.314,7605.7803,7785.3545,7967.252,8151.5181,8334.8535,8515.3916,8684.417,8850.6309,9022.9932,9197.6602,9375.4844,9550.0605,9726.4766,9900.1357,10077.5957,10257.8594,10437.4902,10620.9023,10802.3281,10986.7793,11172.4727,11350.6426,11528.3721,11704.9727,11882.1152,12063.7285,"2.0%"
Brazil,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas: Brazil": Reference,3-IEO2019.23.Reference-d080819,"bill 2010 $",2804.877,2919.4861,2973.6941,3062.21,3077.6289,2968.2471,2870.6819,2902.969,2938.189,3004.804,3088.2739,3173.2251,3257.127,3335.5,3408.769,3475.7881,3539.8879,3605.552,3672.5039,3737.873,3799.238,3854.8259,3907.4231,3960.8201,4014.5249,4068.2881,4119.4111,4168.8652,4214.9238,4260.3071,4304.9751,4350.272,4395.5942,4438.646,4481.1548,4522.563,4560.5542,4596.0449,4628.7671,4659.6602,4691.0391,"1.5%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas: Other": Reference,3-IEO2019.24.Reference-d080819,"bill 2010 $",2956.23,3127.647,3218.842,3332.533,3358.0381,3396.468,3371.771,3407.8601,3405.2981,3322.5891,3432.915,3601.709,3764.2881,3886.4319,4009.5449,4129.9922,4245.4668,4361.7002,4479.0142,4596.981,4716.1538,4829.5908,4943.208,5062.1729,5183.1348,5307.1958,5430.6489,5557.6108,5685.2119,5817.2891,5952.8838,6087.2178,6225.3081,6363.6821,6505.625,6649.9102,6790.0889,6932.3271,7076.2051,7222.4551,7372.689,"2.4%"
Total Non-OECD,"GDP (purchasing power parity): Non-OECD: Total Non-OECD": Reference,3-IEO2019.25.Reference-d080819,"bill 2010 $",45319.9609,48195.2852,50547.0898,53168.7305,55616.3516,57854.5039,60449.0508,63173.707,66156.8828,69042.2969,72305.8906,75801.5625,79215.375,82752.6484,86354.7734,90100,93862.0469,97752.4766,101737.6875,105821.7969,110048.3125,114352.9766,118666.6641,123138.4609,127731.4141,132442.0156,137256.4844,142107.5,147060,152113.3594,157372.1719,162704.8438,168268.9375,173889.9062,179710.4062,185591.4375,191490.9531,197480.3281,203525.1094,209605.7969,215868,"3.8%"
Total World,"GDP (purchasing power parity): Total World": Reference,3-IEO2019.26.Reference-d080819,"bill 2010 $",89230.2656,93005.8203,95963.4375,99270.8047,102737.7969,106164.5469,109620.3828,113621.4453,117760.6406,121632.1719,125840.6484,130252.5312,134585.5625,138978.7031,143475.2812,148169.0938,152898.1406,157782.25,162783.0469,167885.9062,173138.2188,178395.125,183601.5625,189011.3594,194568.1094,200247.6094,206023.75,211852.1875,217776.9062,223832.4219,230116.2812,236499.1094,243160.625,249870.2188,256785.8281,263795.3125,270806.5938,277925.1875,285069,292273.9688,299715.5625,"3.0%"
