"World gross domestic product (GDP) per capita by region expressed in purchasing power parity"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=47-IEO2019&cases=Reference&sourcekey=0"
"Tue Oct 05 2021 15:49:45 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Total OECD,"GDP (purchasing power parity): OECD: Total OECD": Reference,47-IEO2019.11.Reference-d080819,"2010$/person",35343.6367,35844.418,36103.9453,36411.8945,36973.9883,37666.4609,38100.668,38856.5352,39509.5938,40041.8555,40551.5352,41046.6953,41549.8125,42009.3906,42500.375,43030.707,43573.4883,44136.7031,44716.5117,45298.8086,45886.8828,46422.4336,46916.6133,47445.6289,47995.5117,48552.1992,49107.1445,49676.6211,50245.4727,50838.6289,51450.9648,52084.2656,52754.2812,53421.3164,54095.7383,54796.6289,55489.9102,56199.2852,56889.7188,57598.1055,58347.4141,"1.2%"
Non-OECD,,47-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia": Reference,47-IEO2019.13.Reference-d080819,"2010$/person",15383.7744,15999.8662,16482.2246,16808.0039,16887.4512,16648.7148,16776.0332,17185.8691,17616.4844,17958.5605,18163.334,18538.3652,18953.6309,19396.1191,19803.3613,20212.0762,20604.5859,20990.2441,21380.9746,21813.0371,22265.9922,22934.5957,23433.0859,23962.2754,24498.1406,25027.9043,25504.3145,25992.041,26457.666,26901.9922,27357,27803.9883,28259.748,28689.3398,29131.0605,29578.8887,29999.5215,30394.4355,30823.1992,31231.8398,31678.3379,"1.9%"
Russia,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,47-IEO2019.14.Reference-d080819,"2010$/person",22667.3105,23570.8262,24402.1914,24802.2559,24956.8242,24303.0391,24257.6973,24629.832,25093.0566,25470.3887,25562.1172,25974.7871,26494.0293,27061.4922,27533.957,27990.3164,28407.2734,28804.4414,29211.9219,29689.8008,30224.8418,31198.2324,31807.9219,32461.3164,33105.3555,33712.8828,34220.1094,34730.9766,35187.457,35592.1914,35999.0938,36390.9961,36804.9023,37154.0078,37505.2227,37862.1602,38157.0469,38397.7695,38672.6016,38915.3516,39188.1133,"1.4%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,47-IEO2019.15.Reference-d080819,"2010$/person",9910.0625,10309.3926,10527.6357,10797.3633,10818.7402,10864.2148,11121.8584,11559.9961,11966.8584,12283.167,12576.5625,12925.4307,13264.4492,13616.9102,13978.8818,14357.7412,14735.7402,15117.7061,15501.5986,15905.6143,16305.0605,16751.8613,17175.0039,17620.1895,18084.3105,18564.8164,19026.0254,19504.2246,19984.1191,20464.959,20962.0957,21454.6797,21946.8984,22439.6602,22951.6191,23471.0078,23985.8047,24496.6348,25039.7012,25572.7891,26148.5605,"2.5%"
Non-OECD Asia,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia": Reference,47-IEO2019.16.Reference-d080819,"2010$/person",6866.5522,7306.02,7705.1128,8124.6396,8564.0078,9018.9902,9504.4688,10002.2256,10545.668,11081.0039,11639.5312,12202.5801,12730.0771,13283.6621,13847.5703,14438.0859,15034.5264,15656.0557,16290.4414,16937.8086,17608.9648,18278.5762,18959.7656,19663.3711,20387.7871,21132.7012,21907.2695,22687.2383,23488.8867,24310.3672,25169.4492,26050.8223,26977.0508,27915.4727,28892.5,29873.7832,30864.8965,31872.6191,32885.7891,33904.5703,34957.7383,"3.8%"
China,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: China": Reference,47-IEO2019.17.Reference-d080819,"2010$/person",9137.6895,9953.3027,10673.9902,11439.9043,12209.5938,12991.0195,13802.9336,14672.5127,15577.5215,16476.6094,17407.3789,18313.1484,19142.998,20080.707,21021.7148,21981.2207,22917.2246,23907.7812,24913.1406,25921.8086,26988.6211,28052.4238,29138.7734,30252.9648,31399.4375,32581.5605,33832.5156,35053,36319.8203,37609.9062,38969.5273,40345.9062,41825.1172,43309.7148,44868.2461,46409.3594,47975.0859,49586.9023,51197.5469,52809.9414,54460.6992,"4.0%"
India,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: India": Reference,47-IEO2019.18.Reference-d080819,"2010$/person",4310.3359,4548.8726,4738.7104,4969.8691,5256.1519,5591.0244,5964.4893,6265.1699,6657.2134,7063.7358,7494.3755,7940.8086,8374.6377,8807.5693,9256.5908,9733.2197,10244.0195,10785.5244,11342.0684,11920.1582,12519.8242,13128.7607,13754.0547,14401.9883,15074.2666,15771.1055,16487.8242,17230.1582,17995.1562,18788.1504,19609.9082,20474.1895,21368.8691,22286.9629,23240.5684,24212.2207,25198.2305,26197.1738,27210.2773,28235.1426,29307.8262,"4.7%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Asia: Other": Reference,47-IEO2019.19.Reference-d080819,"2010$/person",6922.1318,7147.1445,7412.3232,7649.6138,7892.6162,8125.7847,8386.7451,8706.8662,9040.7412,9345.8359,9670.6201,10027.9492,10376.332,10696.0889,11034.6377,11414.2197,11806.1172,12192.0928,12593.1211,13014.0557,13431.127,13841.4668,14253.6729,14689.0488,15135.9277,15589.7637,16050.3623,16536.5273,17025.8242,17529.4629,18056.5176,18594.5176,19145.6699,19711.1836,20294.1758,20894.9492,21492.1719,22091.8555,22702.2949,23323.7168,23970.3145,"3.1%"
Middle East,"GDP (purchasing power parity): Non-OECD: Middle East": Reference,47-IEO2019.20.Reference-d080819,"2010$/person",21067.6777,21990.3984,21888.7695,22345.3496,22657.5566,22791.7246,23803.0137,23612.3594,23661.8613,23528.998,23689.541,24052.5078,24478.7969,24960.4863,25463.3887,25986.0469,26510.2695,27015.0703,27544.5098,28075.998,28617.0352,29218.9102,29794.6523,30403.7422,30998.0352,31588.7168,32127.9062,32606.7949,33070.8125,33511.4492,33961.3594,34357.1406,34747.2266,35128.0117,35516.5859,35946.7734,36407.5742,36887.4297,37384.2969,37887.8633,38367.8164,"1.5%"
Africa,"GDP (purchasing power parity): Non-OECD: Africa": Reference,47-IEO2019.21.Reference-d080819,"2010$/person",4432.2666,4456.104,4497.9634,4566.7793,4629.0918,4671.0078,4646.5293,4663.8779,4696.0654,4751.6182,4822.0396,4906.4448,4998.9824,5096.9771,5198.3452,5303.5601,5399.6045,5496.7422,5596.2202,5699.3799,5807.5298,5909.7861,6014.4688,6127.1079,6245.7095,6369.1396,6488.5308,6613.8286,6742.1021,6874.5845,7013.23,7145.9775,7285.1411,7427.918,7573.7915,7726.8779,7878.9312,8036.9229,8201.5986,8371.3838,8549.124,"1.9%"
Non-OECD Americas,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas": Reference,47-IEO2019.22.Reference-d080819,"2010$/person",12473.2461,12953.5693,13126.3877,13416.0703,13366.8369,13090.8506,12720.5068,12743.6572,12696.8076,12556.041,12832.7725,13227.7598,13604.6885,13889.7314,14164.915,14421.5283,14666.3389,14914.6523,15166.6055,15416.1514,15660.0166,15887.7266,16110.4277,16344.498,16582.9102,16827.2188,17071.6816,17320.0098,17564.0723,17815.5703,18072.7461,18335.6719,18606.3516,18874.6445,19149.2988,19427.334,19700.8418,19975.9004,20250.0488,20524.752,20805.7539,"1.6%"
Brazil,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas: Brazil": Reference,47-IEO2019.23.Reference-d080819,"2010$/person",14235.4473,14675.8438,14808.7324,15111.0029,15053.918,14396.8125,13811.2236,13857.9834,13921.3457,14135.0859,14428.4092,14728.5303,15023.7734,15293.9414,15541.6221,15762.2314,15971.4277,16189.6436,16415.6348,16636.6152,16842.0352,17024.4512,17196.5234,17375.0586,17557.8887,17743.9629,17921.7031,18095.5488,18258.0664,18421.0781,18584.4609,18754.252,18927.9727,19095.6152,19264.4727,19432.3008,19590.6309,19743.334,19887.0273,20023.3262,20160.4258,"1.2%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Americas: Other": Reference,47-IEO2019.24.Reference-d080819,"2010$/person",11162.2227,11674.6807,11879.5918,12162.5156,12121.7949,12129.2988,11919.1064,11926.7119,11801.1523,11403.9395,11671.5947,12138.083,12576.7871,12875.1787,13172.8779,13458.1348,13730.8135,14003.043,14275.9697,14548.3428,14822.0137,15083.8506,15344.3779,15619.6182,15899.0996,16186.1758,16478.8086,16780.5352,17082.6816,17396.7812,17719.9023,18047.7988,18385.7656,18723.5234,19070.7637,19423.9551,19775.5664,20133.1328,20494.7656,20861.7988,21238.3047,"1.9%"
Total Non-OECD,"GDP (purchasing power parity): Non-OECD: Total Non-OECD": Reference,47-IEO2019.25.Reference-d080819,"2010$/person",7893.1206,8274.0713,8565.0791,8894.3271,9187.8242,9443.0557,9747.7822,10067.4326,10421.7178,10754.6006,11140.3291,11553.2246,11946.8916,12352.6787,12762.0469,13186.3809,13605.6426,14037.6611,14477.4521,14925.6318,15388.1484,15853.5312,16314.6953,16792.2129,17280.9531,17780.3574,18285.8672,18791.2324,19305.0977,19827.166,20370.7891,20917.5352,21488.9336,22062.6953,22656.7227,23253.1992,23848.3906,24450.2305,25054.5273,25658.5312,26280.3535,"2.9%"
Total World,"GDP (purchasing power parity): Total World": Reference,47-IEO2019.26.Reference-d080819,"2010$/person",12776.2266,13145.7051,13403.7168,13703.958,14020.4414,14328.6572,14631.8984,15002.7705,15385.3242,15728.6406,16111.4639,16513.5078,16900.8379,17291.1074,17690,18108.5156,18524.9766,18955.8418,19396.2891,19844.5703,20306.1387,20761.377,21206.8477,21671.9941,22150.2383,22638.7871,23131.834,23627.3145,24130.123,24643.8555,25178.9375,25719.7891,26287.2773,26856.4746,27444.127,28037.9922,28629.8672,29229.8965,29829.3711,30431.5547,31055.1152,"2.2%"
