"World energy intensity by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=46-IEO2019&cases=Reference&sourcekey=0"
"Tue Oct 05 2021 15:50:12 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
Total OECD,"Energy intensity: Total OECD": Reference,46-IEO2019.11.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.5091,5.3531,5.227,5.2037,5.0672,4.9497,4.889,4.887,4.8333,4.7498,4.6757,4.611,4.5422,4.48,4.419,4.3537,4.2916,4.2351,4.1811,4.1307,4.0775,4.0285,3.9808,3.9359,3.8931,3.8548,3.8194,3.7829,3.7484,3.717,3.6865,3.6552,3.6237,3.5931,3.5633,3.5355,3.5109,3.4881,3.4658,3.4428,3.4207,"-1.1%"
Non-OECD,,46-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"Energy intensity: Non-OECD: Non-OECD Europe and Eurasia": Reference,46-IEO2019.13.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",9.667,9.7243,9.3701,8.9738,8.8861,8.9241,8.8279,8.5013,8.3268,8.1584,8.0628,7.8913,7.6903,7.5037,7.3332,7.1885,7.128,7.0508,6.9649,6.8874,6.7991,6.6576,6.5388,6.4385,6.3316,6.26,6.1658,6.1043,6.0423,5.9795,5.9015,5.8698,5.8129,5.7682,5.7265,5.6869,5.6428,5.5855,5.5648,5.5159,5.4783,"-1.3%"
Russia,"Energy intensity: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,46-IEO2019.14.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",9.5792,9.5406,9.2114,8.8837,8.9086,9.1046,9.0963,8.9523,8.7987,8.6192,8.5821,8.3949,8.1787,7.9834,7.817,7.688,7.6741,7.6268,7.5662,7.5055,7.3982,7.2189,7.1082,7.0051,6.8996,6.8427,6.7448,6.7054,6.643,6.6111,6.5578,6.5468,6.524,6.5069,6.4953,6.4825,6.457,6.409,6.4218,6.3854,6.3694,"-1.0%"
Other,"Energy intensity: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,46-IEO2019.15.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",9.8178,10.0399,9.6468,9.1295,8.8469,8.619,8.3854,7.7751,7.5792,7.4366,7.2657,7.1273,6.9543,6.7849,6.6151,6.4556,6.3362,6.2261,6.114,6.0221,5.9674,5.8755,5.7509,5.6595,5.5568,5.4727,5.3918,5.3096,5.258,5.1659,5.0673,5.0208,4.932,4.865,4.7995,4.7406,4.688,4.6343,4.5897,4.5412,4.4951,"-1.6%"
Non-OECD Asia,"Energy intensity: Non-OECD: Non-OECD Asia": Reference,46-IEO2019.16.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.6163,6.6225,6.6204,6.4594,6.2167,5.9238,5.6359,5.5652,5.3881,5.2067,5.0483,4.8588,4.6964,4.54,4.3974,4.2603,4.1419,4.03,3.9257,3.8269,3.7318,3.6467,3.5652,3.4873,3.4114,3.3399,3.2734,3.209,3.1488,3.0892,3.0304,2.9851,2.9382,2.8943,2.8497,2.8071,2.7614,2.7168,2.6746,2.6341,2.5947,"-2.3%"
China,"Energy intensity: Non-OECD: Non-OECD Asia: China": Reference,46-IEO2019.17.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",8.9233,8.9565,8.8836,8.636,8.1685,7.6822,7.1807,7.0073,6.7591,6.5255,6.3188,6.06,5.8511,5.6328,5.4377,5.2535,5.0894,4.9302,4.7841,4.6489,4.5181,4.3984,4.2847,4.1765,4.0742,3.9769,3.8792,3.7891,3.7047,3.623,3.5412,3.4761,3.4077,3.3474,3.2855,3.2292,3.1639,3.1008,3.0426,2.9867,2.9338,"-2.6%"
India,"Energy intensity: Non-OECD: Non-OECD Asia: India": Reference,46-IEO2019.18.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.4349,4.3907,4.5526,4.3688,4.3362,4.1663,3.9772,4.0383,3.8967,3.7353,3.5996,3.4925,3.398,3.3163,3.2414,3.1708,3.123,3.0782,3.0345,2.9908,2.9474,2.9223,2.8958,2.8683,2.8377,2.8078,2.7809,2.7513,2.7217,2.689,2.6579,2.6474,2.6346,2.6188,2.6014,2.5818,2.5609,2.5376,2.5171,2.4966,2.4727,"-1.4%"
Other,"Energy intensity: Non-OECD: Non-OECD Asia: Other": Reference,46-IEO2019.19.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.3846,4.2401,4.1492,4.063,4.0128,3.9453,3.9643,3.9573,3.8796,3.7773,3.6947,3.5855,3.4766,3.3824,3.2931,3.2047,3.1333,3.0706,3.0101,2.9498,2.8908,2.8294,2.7699,2.7137,2.6556,2.6032,2.5658,2.5264,2.4908,2.4553,2.4197,2.3826,2.3452,2.3077,2.271,2.2341,2.2024,2.1731,2.1406,2.1099,2.0822,"-1.9%"
Middle East,"Energy intensity: Non-OECD: Middle East": Reference,46-IEO2019.20.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.5945,6.399,6.6817,6.5927,6.6229,6.6539,6.3736,6.5151,6.4763,6.5623,6.5003,6.4258,6.3169,6.1867,6.0674,5.9697,5.8788,5.8047,5.7197,5.6328,5.5398,5.4505,5.3612,5.2736,5.1913,5.1054,5.0111,4.9585,4.908,4.8459,4.7891,4.7497,4.716,4.684,4.6576,4.623,4.5863,4.5515,4.5179,4.4834,4.4538,"-1.2%"
Africa,"Energy intensity: Non-OECD: Africa": Reference,46-IEO2019.21.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.3178,4.3061,4.4096,4.2835,4.2411,4.1659,4.2108,4.1407,4.1194,4.0415,3.9884,3.9002,3.8098,3.7203,3.6384,3.5646,3.4978,3.4405,3.3852,3.3316,3.2787,3.2305,3.1817,3.1339,3.0839,3.04,2.9993,2.9581,2.9141,2.8711,2.8299,2.797,2.7623,2.7244,2.6879,2.6524,2.6269,2.6009,2.5757,2.5438,2.5132,"-1.5%"
Non-OECD Americas,"Energy intensity: Non-OECD: Non-OECD Americas": Reference,46-IEO2019.22.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.0076,4.8859,4.9147,4.8421,4.9037,4.9089,4.9725,5.1533,5.0856,5.092,4.9785,4.8632,4.7477,4.6723,4.6042,4.5438,4.4777,4.4216,4.3625,4.3096,4.2619,4.2138,4.1713,4.1299,4.0855,4.0503,4.0189,3.9884,3.9591,3.931,3.8991,3.8742,3.8462,3.8207,3.7932,3.7664,3.7441,3.7211,3.7003,3.6746,3.6512,"-1.0%"
Brazil,"Energy intensity: Non-OECD: Non-OECD Americas: Brazil": Reference,46-IEO2019.23.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.0062,4.9225,4.9495,4.9682,5.0599,5.1496,5.2819,5.5984,5.5725,5.5245,5.4616,5.3809,5.3104,5.2568,5.2146,5.1846,5.1416,5.105,5.0647,5.0318,4.9972,4.9693,4.9437,4.9246,4.8993,4.8847,4.8694,4.8555,4.843,4.8324,4.8157,4.8115,4.8033,4.8009,4.7908,4.7886,4.7902,4.7923,4.7973,4.7959,4.8002,"-0.5%"
Other,"Energy intensity: Non-OECD: Non-OECD Americas: Other": Reference,46-IEO2019.24.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.0089,4.8517,4.8825,4.7262,4.7605,4.6985,4.7091,4.7741,4.6654,4.7009,4.5438,4.407,4.2609,4.1707,4.0852,4.0044,3.9241,3.8567,3.7867,3.7223,3.6696,3.6107,3.5608,3.5082,3.4553,3.4106,3.3736,3.338,3.3037,3.2709,3.2363,3.2043,3.1703,3.137,3.106,3.0713,3.0415,3.011,2.9828,2.9512,2.9201,"-1.5%"
Total Non-OECD,"Energy intensity: Non-OECD: Total Non-OECD": Reference,46-IEO2019.25.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.5223,6.4974,6.501,6.3331,6.1845,6.0001,5.7997,5.746,5.6014,5.4631,5.3207,5.149,4.9913,4.841,4.703,4.5738,4.4638,4.3595,4.259,4.1636,4.0703,3.9831,3.899,3.8192,3.7404,3.6679,3.5969,3.5325,3.4708,3.4088,3.3469,3.2995,3.2496,3.2026,3.1556,3.1102,3.0633,3.0169,2.9746,2.9314,2.8901,"-2.0%"
Total World,"Energy intensity: Total World": Reference,46-IEO2019.26.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.0237,5.9461,5.898,5.8086,5.6721,5.5221,5.3912,5.3646,5.2648,5.1547,5.0463,4.9241,4.8065,4.6949,4.59,4.4876,4.3973,4.3122,4.2298,4.1515,4.0729,3.9994,3.9279,3.8599,3.7929,3.7312,3.6712,3.6149,3.561,3.5076,3.4542,3.4105,3.3648,3.3213,3.278,3.2362,3.1944,3.1533,3.1151,3.076,3.0385,"-1.7%"
